"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Sint Maarten (Dutch part)","SXM",NA,NA,NA,NA,NA,2.033,NA,NA,72.324,NA,NA,NA,NA,NA
1990,"Slovak Republic","SVK",NA,NA,NA,NA,NA,2.09,NA,NA,70.9326829268293,NA,14.7,0.1,NA,NA
1990,"Slovenia","SVN",NA,NA,NA,NA,NA,1.46,NA,NA,73.2048780487805,NA,10.4,0.1,NA,1.17346000671387
1990,"Solomon Islands","SLB",NA,2475.92393958478,NA,NA,NA,5.66,2192.10302486372,NA,65.392,NA,38.2,NA,0.821280002593994,NA
1990,"Somalia","SOM",NA,NA,NA,NA,NA,7.44,NA,NA,47.105,NA,180.4,0.1,NA,NA
1990,"South Africa","ZAF",NA,3143.75458936416,NA,NA,NA,3.724,10391.9641372736,NA,63.375,NA,62.2,0.8,1.04732000827789,0.790910005569458
1990,"South Sudan","SSD",NA,NA,NA,NA,NA,7.988,NA,NA,29.935,NA,251.2,0.6,NA,NA
1990,"Sri Lanka","LKA",NA,NA,NA,NA,NA,2.517,4040.02841660378,8.7,71.927,NA,22.8,0.1,1.02120995521545,NA
1990,"St. Kitts and Nevis","KNA",NA,NA,NA,NA,NA,2.793,14170.4331776424,NA,65.188,NA,30.4,NA,NA,NA
1990,"St. Lucia","LCA",NA,NA,NA,NA,NA,3.399,11419.1041020133,NA,70.326,NA,21.9,NA,1.03211998939514,NA
1990,"St. Martin (French part)","MAF",NA,NA,NA,NA,NA,2.894,NA,NA,74.463,NA,NA,NA,NA,NA
