"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Iraq","IRQ",0.014837959,15.3110694069236,3533.621821473,46.65,28.185387961635,NA,5.0193,6242.77727802902,9.3,65.3322,0.905239999294281,44.97,NA,0.79171142407826,0.554972004890442
"Israel","ISR",0.000810925,NA,23078.7154206836,NA,NA,NA,2.89105,30074.0603673995,5.30909090909091,78.7981707317073,NA,7.445,NA,1.00935750082135,1.20436600049337
"Italy","ITA",0.007102219,NA,26380.0845428716,62.7,NA,NA,1.2935,41343.0624228916,6.66153846153846,79.424512195122,1.00015997886658,6.21,0.22,0.992359992861748,1.17878001332283
"Jamaica","JAM",1.143460776,1.8912515159648,4634.37671853688,67.325,5.56863514485645,NA,2.42255,9779.46845121666,5.81666666666667,71.4097,1.09329998493195,21.925,1.435,1.01703200340271,1.5341940164566
"Jordan","JOR",0.369473469,36.4880989512463,NA,51.88,24.8957385234326,NA,4.28755,9377.081464623,7.44,71.82325,0.998896638552349,27.56,NA,1.02534468173981,1.05507124215364
"Japan","JPN",0.02095155,NA,25492.5371887116,57.0888888888889,NA,NA,1.387,36074.7195141648,6.4,80.8686829268293,NA,4.745,NA,1.01199375092983,0.765298562390464
"Kazakhstan","KAZ",0.217161219,10.5247576214784,3494.48413277695,58.6333333333333,29.1565413319401,NA,2.231,12911.6291067447,7.92,65.8838292682927,1.00059998035431,41.52,0.1,1.03591001033783,1.16646164655685
"Kenya","KEN",6.477853231,45.4540579054946,887.669036216618,39.125,1.90716709007408,3,5.17905,3426.49062721672,4.8,56.5832,0.983225017786026,92.94,7.86,0.95409818129106,0.5833800137043
"Kyrgyz Republic","KGZ",2.065464026,29.9559777322432,NA,53.65,30.4660007967866,4.4,2.8265,3474.12934506984,8.38,67.8024390243903,1.00093001127243,50.9,0.1,1.00711834430695,1.13940414260415
"Cambodia","KHM",6.643791054,6.39454959506457,496.41811973315,27.64,2.6456237369239,3.9,4.09655,1737.06772688765,NA,59.91835,0.873520016670227,94.63,0.87,0.855772000551224,0.36960357427597
"Kiribati","KIR",5.002998765,NA,1745.6862388289,27.6666666666667,NA,2.8,4.1424,1983.40049267473,6.6,63.7705,NA,72.245,NA,1.06128749251366,NA
"Korea, Rep.","KOR",0.080255411,NA,14743.1103203379,80.1125,NA,NA,1.40615,22629.987480427,7.25,75.7407317073171,1.00092005729675,8.54,NA,1.00360951125622,0.605189998447895
"Kuwait","KWT",0.000567073,NA,NA,50.6666666666667,NA,NA,2.81795,62429.5545577105,NA,76.2059,0.993013989925385,13.235,NA,1.02246277530988,1.4914433558782
"Lao PDR","LAO",2.69310158,29.8406098005263,808.688403516758,27.3,1.65252629846249,3.5,4.59585,2896.20533420224,8.225,58.4077,0.858762502670288,110.5,0.13,0.8079384188903,0.558237223161591
"Lebanon","LBN",0.023082325,NA,4663.93117105764,59.075,53.6608828693245,NA,2.5676,12721.805763314,NA,73.66445,1.0043449997902,20.955,0.1,NA,1.12081614365945
"Liberia","LBR",1.872304199,NA,NA,11.4,NA,2.5,5.85725,1415.24048729156,6.5,49.9477,0.585810005664825,191.715,2.41,0.732400000095367,0.38179498910904
"Libya","LBY",0,NA,NA,43.8666666666667,NA,NA,3.30345,29115.7160920375,NA,71.0606,0.968620002269745,28.875,0.1,1.04883247613907,1.01734667023023
"Sri Lanka","LKA",2.160030029,35.7434013524827,NA,68.1666666666667,6.46040041380709,4,2.29705,6014.8662701308,7.7,71.56365,1.01100333531698,18.35,0.1,1.02820334831873,0.495429992675781
"Lesotho","LSO",3.402650963,NA,1019.19730140236,37.0285714285714,NA,4,3.8744,1736.77866901915,2.25,50.3275,1.16220998764038,101.915,16.995,1.10238158075433,1.24294569662639
"Lithuania","LTU",0,51.4314917788802,6562.34853724327,61.4666666666667,45.0350758345412,NA,1.506,17486.7642030743,6.36666666666667,70.9705609756098,1.00080001354218,11.885,0.1,0.994266863912344,1.29802789813594
"Luxembourg","LUX",0,NA,59946.3954374537,NA,NA,NA,1.664,94895.7453447129,8.61,77.6622817073171,NA,5.12,0.13,1.02555900812149,1.09327250719071
"Latvia","LVA",0,41.0598559119484,6169.56577031719,67.9,49.0835513710749,NA,1.4025,16447.2414204083,6.26666666666667,69.8215853658537,1.00065004825592,14.665,0.2,1.00898894197062,1.374118745327
"Morocco","MAR",0.075712586,NA,1832.60105590821,53.3,NA,NA,3.03025,5050.74154052734,6.525,66.5321,0.759862497448921,54.785,0.1,0.80868948996067,0.743040524030987
"Moldova","MDA",0.343810822,NA,1374.69060002984,67.9666666666667,NA,4.9,1.74565,6246.49393750023,6.96153846153846,66.95895,1.00164520740509,29.19,0.27,NA,1.26696298122406
